No	通過点	進路	道	区間距離	積算距離	情報・その他
1	島田川越広場	左へ	K342		0.0	スタート　06:30～07:00
2	S「大井川橋東」	左折	K381	0.6	0.6	鉄橋を渡る　歩道推奨
3	S「東町」	右折	市道	1	1.6	鉄橋を横断直後
4	4差路	左直進	市道	1.7	3.3	クランク状に直進 TERADAの建物を目指す感じ
5	┫字路　	左折	市道	0.5	3.8	"右に富士食品工業島田金谷工場あり　ミスコース注意
この後狭い住宅街を通過（一時停止3か所)"
6	十字路	直進	K81	1.0	4.8	踏切を横断直後
7	Y字路	右直進	市道	8.1	12.9	道なり
8	T字路	右折	K39	4.9	17.8	クランク状に進む
9	┫字路　	左折	K269	0.0	17.8	「森」へ
10	S	右折	K40	7.8	25.6	「天竜」へ
11	S「福田地」	左折	K58	3	28.6	「袋井」へ
12	PC1 ファミリーマート袋井月見店	直進	K58･K275	5	33.6	左側 7:30〜9:12
13	S「袋井駅北」	右折	市道	4.9	38.5	左前にローソンあり
14	S	左折	K41,K69,K372,K239	0.3	38.8	1つ目の信号
15	S「新川橋西」	右折	市道	26.1	64.9	右前にコンビニ跡あり
16	T字路	左折	K372	0.4	65.3
17	S「法ノ沢」	右折	K357	2.5	67.8	左前にセブンイレブンあり
18	S	左折	K357、市道	1.5	69.3	「御前崎海岸」へ
19	PC2 セブンイレブン御前崎港店	直進	市道	9.4	78.7	左側 8:49〜11:46
20	S	右折	市道	2.4	81.1	「静岡」へ
21	S「臨港道路入口」	直進	R150	2	83.1
22	S	直進	K31	12.8	95.9	左前にミニストップあり
23	S	右折	市道	7.6	103.5	「大井川港」へ　左前にファミリーマートあり（帰りのPC)
24	S	左折	K227,K355	0.9	104.4	信号手前右にダイハツ(ｲﾄｳ自動車)あり
25	S「田尻北公園」	右折	K355	6.8	111.2	T字路
26	Y字路	左折	K355	1.5	112.7	ほぼ道なり　正面に港が見える
27	S「石津港町」	右折	K355,市道	0.1	112.8	右の小さい橋を渡る
28	S	右折	市道	0.7	113.5	右にお寺あり
29	S	左折	市道	0.3	113.8	正面は小川港
30	T字路	左折	市道,K31	1.7	115.5	「焼津漁港」へ
31	S「本町2丁目」	右折	K416	0.5	116.0	「静岡」へ
32	S「広野」	右折	R150	9.2	125.2	「静岡市街」へ       地下道を通行し右折する
33	S「中島」	右折	R150	2.6	127.8	「三保」へ
34	S	左折	R150	8.1	135.9	「日本平」へ
35	S	直進	市道	3.3	139.2	R150を横断 　　　狭い住宅街の道路を通行
37	┫字路　	左折	市道	0.5	139.7	右に洋菓子屋パピヨンあり
38	S（感応式）	右折	K199,市道	0.1	139.8	押しボタンを押す　右にセブンイレブンあり　
39	PC3 灯台駐車場	直進	市道	5.2	145.0	左側 10:46〜16:10
40	S「灯台入口」	左折	K199	1.1	146.1
41	S「駒越東町」	左折	R150	3.2	149.3	「焼津」へ
42	S「中島」	左折	R150	11.9	161.2	「焼津」へ
43	S「広野」	左折	K416	2.6	163.8
45	S「本町2丁目」	左折	K31,市道	9.2	173.0	「焼津漁港」へ
46	┣字路	右折	市道	0.5	173.5	「焼津漁港」へ
47	S	右折	市道,K355	1.7	175.2
48	S	左折	市道	0.3	175.5	左にお寺あり
49	S「石津港町」	左折	K355	0.7	176.2	K355の表示あり
50	Y字路	右折	K355	0.1	176.3	前方に岩本釣具店あり
51	S「田尻北公園」	左折	K355,K227	1.5	177.8	「ディスカバリーパーク焼津」へ
52	S	右折	市道	6.8	184.6	左奥に釣具店あり
53	PC4 ファミリーマート 大井川利右衛門店　（S右前）	左折	K31	0.9	185.5	右側 11:58〜18:54 この後左側歩道を通行する
54	┫字路　	左折	土手	0.8	186.3	橋直前の土手を通行　車止めあり　ミスコース注意！
55	変形十字路	右へ	リバティ	0.2	186.5	マラソンコースリバティを道沿いに通行　途中の車止めに注意
56	島田川越広場	ゴール		15.2	201.7	ゴール 12:23～20:00
